Player,Team,merge_key
Aaron Ramsdale,Southampton,aaron ramsdale|southampton
Aaron Wan-Bissaka,West Ham United,aaron wan bissaka|west ham united
Abdoulaye Doucouré,Everton,abdoulaye doucoure|everton
Adam Armstrong,Southampton,adam armstrong|southampton
Adam Smith,Bournemouth,adam smith|bournemouth
Adam Wharton,Crystal Palace,adam wharton|crystal palace
Adama Traoré,Fulham,adama traore|fulham
Alejandro Garnacho,Manchester United,alejandro garnacho|manchester united
Alex Iwobi,Fulham,alex iwobi|fulham
Alex Palmer,Ipswich Town,alex palmer|ipswich town
Alexander Isak,Newcastle United,alexander isak|newcastle united
Alexis Mac Allister,Liverpool,alexis mac allister|liverpool
Alisson,Liverpool,alisson|liverpool
Alphonse Areola,West Ham United,alphonse areola|west ham united
Amad Diallo,Manchester United,amad diallo|manchester united
Amadou Onana,Aston Villa,amadou onana|aston villa
Andreas Pereira,Fulham,andreas pereira|fulham
Andrew Robertson,Liverpool,andrew robertson|liverpool
André,Wolverhampton Wanderers,andre|wolverhampton wanderers
André Onana,Manchester United,andre onana|manchester united
Anthony Elanga,Nottingham Forest,anthony elanga|nottingham forest
Anthony Gordon,Newcastle United,anthony gordon|newcastle united
Antoine Semenyo,Bournemouth,antoine semenyo|bournemouth
Antonee Robinson,Fulham,antonee robinson|fulham
Arijanet Muric,Ipswich Town,arijanet muric|ipswich town
Ashley Young,Everton,ashley young|everton
Axel Tuanzebe,Ipswich Town,axel tuanzebe|ipswich town
Bart Verbruggen,Brighton & Hove Albion,bart verbruggen|brighton & hove albion
Ben Johnson,Ipswich Town,ben johnson|ipswich town
Ben White,Arsenal,ben white|arsenal
Bernardo Silva,Manchester City,bernardo silva|manchester city
Bernd Leno,Fulham,bernd leno|fulham
Beto,Everton,beto|everton
Bilal El Khannouss,Leicester City,bilal el khannouss|leicester city
Boubacar Kamara,Aston Villa,boubacar kamara|aston villa
Boubakary Soumaré,Leicester City,boubakary soumare|leicester city
Bruno Fernandes,Manchester United,bruno fernandes|manchester united
Bruno Guimarães,Newcastle United,bruno guimaraes|newcastle united
Bryan Mbeumo,Brentford,bryan mbeumo|brentford
Bukayo Saka,Arsenal,bukayo saka|arsenal
Caleb Okoli,Leicester City,caleb okoli|leicester city
Callum Hudson-Odoi,Nottingham Forest,callum hudson odoi|nottingham forest
Calvin Bassey,Fulham,calvin bassey|fulham
Cameron Archer,Southampton,cameron archer|southampton
Cameron Burgess,Ipswich Town,cameron burgess|ipswich town
Carlos Baleba,Brighton & Hove Albion,carlos baleba|brighton & hove albion
Carlos Soler,West Ham United,carlos soler|west ham united
Casemiro,Manchester United,casemiro|manchester united
Chris Richards,Crystal Palace,chris richards|crystal palace
Chris Wood,Nottingham Forest,chris wood|nottingham forest
Christian Eriksen,Manchester United,christian eriksen|manchester united
Christian Nørgaard,Brentford,christian nørgaard|brentford
Christopher Nkunku,Chelsea,christopher nkunku|chelsea
Cody Gakpo,Liverpool,cody gakpo|liverpool
Cole Palmer,Chelsea,cole palmer|chelsea
Conor Coady,Leicester City,conor coady|leicester city
Craig Dawson,Wolverhampton Wanderers,craig dawson|wolverhampton wanderers
Curtis Jones,Liverpool,curtis jones|liverpool
Daichi Kamada,Crystal Palace,daichi kamada|crystal palace
Dan Burn,Newcastle United,dan burn|newcastle united
Dango Ouattara,Bournemouth,dango ouattara|bournemouth
Daniel Muñoz,Crystal Palace,daniel munoz|crystal palace
Danny Welbeck,Brighton & Hove Albion,danny welbeck|brighton & hove albion
Dara O'Shea,Ipswich Town,dara o'shea|ipswich town
Darwin Núñez,Liverpool,darwin nunez|liverpool
David Brooks,Bournemouth,david brooks|bournemouth
David Raya,Arsenal,david raya|arsenal
Dean Henderson,Crystal Palace,dean henderson|crystal palace
Dean Huijsen,Bournemouth,dean huijsen|bournemouth
Declan Rice,Arsenal,declan rice|arsenal
Diogo Dalot,Manchester United,diogo dalot|manchester united
Diogo Jota,Liverpool,diogo jota|liverpool
Dominic Calvert-Lewin,Everton,dominic calvert lewin|everton
Dominik Szoboszlai,Liverpool,dominik szoboszlai|liverpool
Dwight McNeil,Everton,dwight mcneil|everton
Eberechi Eze,Crystal Palace,eberechi eze|crystal palace
Eddie Nketiah,Crystal Palace,eddie nketiah|crystal palace
Ederson,Manchester City,ederson|manchester city
Edson Álvarez,West Ham United,edson alvarez|west ham united
Elliot Anderson,Nottingham Forest,elliot anderson|nottingham forest
Emerson Palmieri,West Ham United,emerson palmieri|west ham united
Emile Smith Rowe,Fulham,emile smith rowe|fulham
Emiliano Martínez,Aston Villa,emiliano martinez|aston villa
Emmanuel Agbadou,Wolverhampton Wanderers,emmanuel agbadou|wolverhampton wanderers
Enzo Fernández,Chelsea,enzo fernandez|chelsea
Erling Haaland,Manchester City,erling haaland|manchester city
Ethan Pinnock,Brentford,ethan pinnock|brentford
Evanilson,Bournemouth,evanilson|bournemouth
Ezri Konsa,Aston Villa,ezri konsa|aston villa
Fabian Schär,Newcastle United,fabian schar|newcastle united
Facundo Buonanotte,Leicester City,facundo buonanotte|leicester city
Flynn Downes,Southampton,flynn downes|southampton
Gabriel Magalhães,Arsenal,gabriel magalhaes|arsenal
Gabriel Martinelli,Arsenal,gabriel martinelli|arsenal
Georginio Rutter,Brighton & Hove Albion,georginio rutter|brighton & hove albion
Gonçalo Guedes,Wolverhampton Wanderers,goncalo guedes|wolverhampton wanderers
Guido Rodríguez,West Ham United,guido rodriguez|west ham united
Harry Maguire,Manchester United,harry maguire|manchester united
Harry Wilson,Fulham,harry wilson|fulham
Harry Winks,Leicester City,harry winks|leicester city
Harvey Barnes,Newcastle United,harvey barnes|newcastle united
Ian Maatsen,Aston Villa,ian maatsen|aston villa
Ibrahima Konaté,Liverpool,ibrahima konate|liverpool
Idrissa Gana Gueye,Everton,idrissa gana gueye|everton
Igor,Brighton & Hove Albion,igor|brighton & hove albion
Iliman Ndiaye,Everton,iliman ndiaye|everton
Illia Zabarnyi,Bournemouth,illia zabarnyi|bournemouth
Ismaila Sarr,Crystal Palace,ismaila sarr|crystal palace
Issa Diop,Fulham,issa diop|fulham
Jack Clarke,Ipswich Town,jack clarke|ipswich town
Jack Harrison,Everton,jack harrison|everton
Jack Hinshelwood,Brighton & Hove Albion,jack hinshelwood|brighton & hove albion
Jack Stephens,Southampton,jack stephens|southampton
Jacob Greaves,Ipswich Town,jacob greaves|ipswich town
Jacob Murphy,Newcastle United,jacob murphy|newcastle united
Jacob Ramsey,Aston Villa,jacob ramsey|aston villa
Jadon Sancho,Chelsea,jadon sancho|chelsea
Jake O'Brien,Everton,jake o'brien|everton
Jakub Kiwior,Arsenal,jakub kiwior|arsenal
James Bree,Southampton,james bree|southampton
James Garner,Everton,james garner|everton
James Justin,Leicester City,james justin|leicester city
James Tarkowski,Everton,james tarkowski|everton
James Ward-Prowse,West Ham United,james ward prowse|west ham united
Jamie Vardy,Leicester City,jamie vardy|leicester city
Jan Bednarek,Southampton,jan bednarek|southampton
Jan Paul van Hecke,Brighton & Hove Albion,jan paul van hecke|brighton & hove albion
Jannik Vestergaard,Leicester City,jannik vestergaard|leicester city
Jarrad Branthwaite,Everton,jarrad branthwaite|everton
Jarrod Bowen,West Ham United,jarrod bowen|west ham united
Jean-Clair Todibo,West Ham United,jean clair todibo|west ham united
Jean-Philippe Mateta,Crystal Palace,jean philippe mateta|crystal palace
Jean-Ricner Bellegarde,Wolverhampton Wanderers,jean ricner bellegarde|wolverhampton wanderers
Jefferson Lerma,Crystal Palace,jefferson lerma|crystal palace
Jens Cajuste,Ipswich Town,jens cajuste|ipswich town
Jeremy Doku,Manchester City,jeremy doku|manchester city
Jesper Lindstrøm,Everton,jesper lindstrøm|everton
Joachim Andersen,Fulham,joachim andersen|fulham
Joe Aribo,Southampton,joe aribo|southampton
Joe Willock,Newcastle United,joe willock|newcastle united
Joelinton,Newcastle United,joelinton|newcastle united
John McGinn,Aston Villa,john mcginn|aston villa
Jordan Ayew,Leicester City,jordan ayew|leicester city
Jordan Pickford,Everton,jordan pickford|everton
Joshua Zirkzee,Manchester United,joshua zirkzee|manchester united
José Sá,Wolverhampton Wanderers,jose sa|wolverhampton wanderers
João Gomes,Wolverhampton Wanderers,joao gomes|wolverhampton wanderers
João Pedro,Brighton & Hove Albion,joao pedro|brighton & hove albion
Joël Veltman,Brighton & Hove Albion,joel veltman|brighton & hove albion
Joško Gvardiol,Manchester City,josko gvardiol|manchester city
Jurriën Timber,Arsenal,jurrien timber|arsenal
Justin Kluivert,Bournemouth,justin kluivert|bournemouth
Jørgen Strand Larsen,Wolverhampton Wanderers,jørgen strand larsen|wolverhampton wanderers
Kai Havertz,Arsenal,kai havertz|arsenal
Kalvin Phillips,Ipswich Town,kalvin phillips|ipswich town
Kamaldeen Sulemana,Southampton,kamaldeen sulemana|southampton
Kaoru Mitoma,Brighton & Hove Albion,kaoru mitoma|brighton & hove albion
Keane Lewis-Potter,Brentford,keane lewis potter|brentford
Kenny Tete,Fulham,kenny tete|fulham
Kepa Arrizabalaga,Bournemouth,kepa arrizabalaga|bournemouth
Kevin De Bruyne,Manchester City,kevin de bruyne|manchester city
Kevin Schade,Brentford,kevin schade|brentford
Kieran Trippier,Newcastle United,kieran trippier|newcastle united
Kobbie Mainoo,Manchester United,kobbie mainoo|manchester united
Konstantinos Mavropanos,West Ham United,konstantinos mavropanos|west ham united
Kristoffer Ajer,Brentford,kristoffer ajer|brentford
Kyle Walker,Manchester City,kyle walker|manchester city
Kyle Walker-Peters,Southampton,kyle walker peters|southampton
Leandro Trossard,Arsenal,leandro trossard|arsenal
Leif Davis,Ipswich Town,leif davis|ipswich town
Leny Yoro,Manchester United,leny yoro|manchester united
Leon Bailey,Aston Villa,leon bailey|aston villa
Lesley Ugochukwu,Southampton,lesley ugochukwu|southampton
Levi Colwill,Chelsea,levi colwill|chelsea
Lewis Cook,Bournemouth,lewis cook|bournemouth
Lewis Dunk,Brighton & Hove Albion,lewis dunk|brighton & hove albion
Lewis Hall,Newcastle United,lewis hall|newcastle united
Liam Delap,Ipswich Town,liam delap|ipswich town
Lisandro Martínez,Manchester United,lisandro martinez|manchester united
Lucas Digne,Aston Villa,lucas digne|aston villa
Lucas Paquetá,West Ham United,lucas paqueta|west ham united
Luis Díaz,Liverpool,luis diaz|liverpool
Luke Thomas,Leicester City,luke thomas|leicester city
Luke Woolfenden,Ipswich Town,luke woolfenden|ipswich town
Mads Hermansen,Leicester City,mads hermansen|leicester city
Mads Roerslev,Brentford,mads roerslev|brentford
Malo Gusto,Chelsea,malo gusto|chelsea
Manuel Akanji,Manchester City,manuel akanji|manchester city
Manuel Ugarte,Manchester United,manuel ugarte|manchester united
Marc Cucurella,Chelsea,marc cucurella|chelsea
Marc Guéhi,Crystal Palace,marc guehi|crystal palace
Marcos Senesi,Bournemouth,marcos senesi|bournemouth
Marcus Rashford,Manchester United,marcus rashford|manchester united
Marcus Tavernier,Bournemouth,marcus tavernier|bournemouth
Mario Lemina,Wolverhampton Wanderers,mario lemina|wolverhampton wanderers
Mark Flekken,Brentford,mark flekken|brentford
Marshall Munetsi,Wolverhampton Wanderers,marshall munetsi|wolverhampton wanderers
Martin Ødegaard,Arsenal,martin ødegaard|arsenal
Mateo Kovačić,Manchester City,mateo kovacic|manchester city
Mateus Fernandes,Southampton,mateus fernandes|southampton
Matheus Cunha,Wolverhampton Wanderers,matheus cunha|wolverhampton wanderers
Matheus Nunes,Manchester City,matheus nunes|manchester city
Mats Wieffer,Brighton & Hove Albion,mats wieffer|brighton & hove albion
Matt Doherty,Wolverhampton Wanderers,matt doherty|wolverhampton wanderers
Matt O'Riley,Brighton & Hove Albion,matt o'riley|brighton & hove albion
Matthijs de Ligt,Manchester United,matthijs de ligt|manchester united
Matty Cash,Aston Villa,matty cash|aston villa
Matz Sels,Nottingham Forest,matz sels|nottingham forest
Max Kilman,West Ham United,max kilman|west ham united
Maxence Lacroix,Crystal Palace,maxence lacroix|crystal palace
Michael Keane,Everton,michael keane|everton
Mikel Merino,Arsenal,mikel merino|arsenal
Mikkel Damsgaard,Brentford,mikkel damsgaard|brentford
Milos Kerkez,Bournemouth,milos kerkez|bournemouth
Mohamed Salah,Liverpool,mohamed salah|liverpool
Mohammed Kudus,West Ham United,mohammed kudus|west ham united
Moisés Caicedo,Chelsea,moises caicedo|chelsea
Morato,Nottingham Forest,morato|nottingham forest
Morgan Gibbs-White,Nottingham Forest,morgan gibbs white|nottingham forest
Morgan Rogers,Aston Villa,morgan rogers|aston villa
Murillo,Nottingham Forest,murillo|nottingham forest
Myles Lewis-Skelly,Arsenal,myles lewis skelly|arsenal
Nathan Collins,Brentford,nathan collins|brentford
Neco Williams,Nottingham Forest,neco williams|nottingham forest
Nick Pope,Newcastle United,nick pope|newcastle united
Nicolas Jackson,Chelsea,nicolas jackson|chelsea
Nicolás Domínguez,Nottingham Forest,nicolas dominguez|nottingham forest
Nikola Milenković,Nottingham Forest,nikola milenkovic|nottingham forest
Noni Madueke,Chelsea,noni madueke|chelsea
Noussair Mazraoui,Manchester United,noussair mazraoui|manchester united
Nélson Semedo,Wolverhampton Wanderers,nelson semedo|wolverhampton wanderers
Ola Aina,Nottingham Forest,ola aina|nottingham forest
Oliver Skipp,Leicester City,oliver skipp|leicester city
Ollie Watkins,Aston Villa,ollie watkins|aston villa
Omar Marmoush,Manchester City,omar marmoush|manchester city
Omari Hutchinson,Ipswich Town,omari hutchinson|ipswich town
Orel Mangala,Everton,orel mangala|everton
Pau Torres,Aston Villa,pau torres|aston villa
Paul Onuachu,Southampton,paul onuachu|southampton
Pedro Neto,Chelsea,pedro neto|chelsea
Pervis Estupiñán,Brighton & Hove Albion,pervis estupinan|brighton & hove albion
Phil Foden,Manchester City,phil foden|manchester city
Rasmus Højlund,Manchester United,rasmus højlund|manchester united
Rayan Aït-Nouri,Wolverhampton Wanderers,rayan ait nouri|wolverhampton wanderers
Raúl Jiménez,Fulham,raul jimenez|fulham
Reece James,Chelsea,reece james|chelsea
Riccardo Calafiori,Arsenal,riccardo calafiori|arsenal
Rico Lewis,Manchester City,rico lewis|manchester city
Robert Sánchez,Chelsea,robert sanchez|chelsea
Rodrigo Muniz,Fulham,rodrigo muniz|fulham
Ryan Christie,Bournemouth,ryan christie|bournemouth
Ryan Gravenberch,Liverpool,ryan gravenberch|liverpool
Ryan Manning,Southampton,ryan manning|southampton
Ryan Yates,Nottingham Forest,ryan yates|nottingham forest
Rúben Dias,Manchester City,ruben dias|manchester city
Sam Morsy,Ipswich Town,sam morsy|ipswich town
Sammie Szmodics,Ipswich Town,sammie szmodics|ipswich town
Sander Berge,Fulham,sander berge|fulham
Sandro Tonali,Newcastle United,sandro tonali|newcastle united
Santiago Bueno,Wolverhampton Wanderers,santiago bueno|wolverhampton wanderers
Saša Lukić,Fulham,sasa lukic|fulham
Sepp van den Berg,Brentford,sepp van den berg|brentford
Simon Adingra,Brighton & Hove Albion,simon adingra|brighton & hove albion
Stefan Ortega,Manchester City,stefan ortega|manchester city
Stephy Mavididi,Leicester City,stephy mavididi|leicester city
Sávio,Manchester City,savio|manchester city
Taylor Harwood-Bellis,Southampton,taylor harwood bellis|southampton
Thomas Partey,Arsenal,thomas partey|arsenal
Timothy Castagne,Fulham,timothy castagne|fulham
Tomáš Souček,West Ham United,tomas soucek|west ham united
Tosin Adarabioyo,Chelsea,tosin adarabioyo|chelsea
Toti Gomes,Wolverhampton Wanderers,toti gomes|wolverhampton wanderers
Trent Alexander-Arnold,Liverpool,trent alexander arnold|liverpool
Trevoh Chalobah,Chelsea,trevoh chalobah|chelsea
Trevoh Chalobah,Crystal Palace,trevoh chalobah|crystal palace
Tyler Adams,Bournemouth,tyler adams|bournemouth
Tyler Dibling,Southampton,tyler dibling|southampton
Tyrick Mitchell,Crystal Palace,tyrick mitchell|crystal palace
Tyrone Mings,Aston Villa,tyrone mings|aston villa
Valentino Livramento,Newcastle United,valentino livramento|newcastle united
Victor Bernth Kristiansen,Leicester City,victor bernth kristiansen|leicester city
Virgil van Dijk,Liverpool,virgil van dijk|liverpool
Vitaliy Mykolenko,Everton,vitaliy mykolenko|everton
Vitaly Janelt,Brentford,vitaly janelt|brentford
Vladimír Coufal,West Ham United,vladimir coufal|west ham united
Wes Burns,Ipswich Town,wes burns|ipswich town
Wesley Fofana,Chelsea,wesley fofana|chelsea
Wilfred Ndidi,Leicester City,wilfred ndidi|leicester city
Will Hughes,Crystal Palace,will hughes|crystal palace
William Saliba,Arsenal,william saliba|arsenal
Wout Faes,Leicester City,wout faes|leicester city
Yankuba Minteh,Brighton & Hove Albion,yankuba minteh|brighton & hove albion
Yasin Ayari,Brighton & Hove Albion,yasin ayari|brighton & hove albion
Yehor Yarmoliuk,Brentford,yehor yarmoliuk|brentford
Yoane Wissa,Brentford,yoane wissa|brentford
Youri Tielemans,Aston Villa,youri tielemans|aston villa
Yukinari Sugawara,Southampton,yukinari sugawara|southampton
Álex Moreno,Nottingham Forest,alex moreno|nottingham forest
İlkay Gündoğan,Manchester City,ilkay gundogan|manchester city
Łukasz Fabiański,West Ham United,łukasz fabianski|west ham united
