Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Robert Sánchez,Chelsea,es ESP,GK,26.0,32.0,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,34.0,1.06,123.0,94.0,75.6,17.0,9.0,6.0,10.0,31.3,5.0,4.0,1.0,0.0,20.0,32.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,N/a,N/a,0.0
Rodrigo Muniz,Fulham,br BRA,FW,23.0,N/a,8,964.0,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,0.75,0.09,0.84,0.75,0.84,31.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.7,8.0,40.0,19.0,47.5,3.73,1.77,0.2,0.42,0.0,0.0,0.0,11.0,31.0,3.0,1.0,4.0,6.0,N/a,N/a,0.0
Ryan Christie,Bournemouth,sct SCO,MF,29.0,N/a,27,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,0.09,0.13,0.21,0.09,0.21,29.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,23.5,2.0,33.0,12.0,36.4,1.4,0.51,0.06,0.17,0.0,0.0,0.0,42.0,31.0,1.0,47.0,30.0,33.0,N/a,N/a,0.0
Ryan Gravenberch,Liverpool,nl NED,MF,22.0,37.0,37,3160.0,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.11,0.11,0.0,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35.1,0.0,20.0,5.0,25.0,0.57,0.14,0.0,0.0,0.0,0.0,0.0,47.0,52.0,0.0,7.0,56.0,37.0,N/a,N/a,0.0
Ryan Manning,Southampton,ie IRL,"DF,MF",28.0,N/a,18,1462.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,24.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16.2,0.0,8.0,1.0,12.5,0.49,0.06,0.0,0.0,0.0,0.0,0.0,19.0,33.0,0.0,84.0,17.0,18.0,N/a,N/a,0.0
Ryan Yates,Nottingham Forest,eng ENG,MF,26.0,35.0,18,1915.0,21.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,0.09,0.05,0.14,0.09,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.3,2.0,33.0,9.0,27.3,1.55,0.42,0.06,0.22,0.0,0.0,0.0,54.0,48.0,7.0,8.0,25.0,21.0,N/a,N/a,0.0
Rúben Dias,Manchester City,pt POR,"DF,MF",27.0,27.0,25,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25.2,0.0,21.0,7.0,33.3,0.83,0.28,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,3.0,19.0,11.0,N/a,N/a,1.0
Sam Morsy,Ipswich Town,eg EGY,MF,32.0,33.0,31,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.03,0.03,0.07,0.03,0.07,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,30.6,1.0,13.0,3.0,23.1,0.43,0.1,0.08,0.33,0.0,0.0,0.0,48.0,27.0,0.0,15.0,28.0,39.0,N/a,N/a,1.0
Sammie Szmodics,Ipswich Town,ie IRL,MF,28.0,20.0,13,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.36,0.0,0.36,0.36,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.0,4.0,21.0,12.0,57.1,1.91,1.09,0.19,0.33,0.0,0.0,0.0,9.0,8.0,8.0,14.0,5.0,12.0,N/a,N/a,0.0
Sander Berge,Fulham,no NOR,MF,26.0,N/a,26,2224.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.7,0.0,3.0,1.0,33.3,0.12,0.04,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,3.0,21.0,32.0,N/a,N/a,0.0
Sandro Tonali,Newcastle United,it ITA,MF,24.0,36.0,28,2630.0,29.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,0.14,0.07,0.21,0.14,0.21,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29.2,4.0,35.0,12.0,34.3,1.2,0.41,0.11,0.33,0.0,0.0,0.0,37.0,49.0,2.0,54.0,32.0,32.0,N/a,N/a,0.0
Santiago Bueno,Wolverhampton Wanderers,uy URU,DF,25.0,29.0,18,1687.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18.7,0.0,6.0,3.0,50.0,0.32,0.16,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,13.0,20.0,N/a,N/a,0.0
Saša Lukić,Fulham,rs SRB,MF,27.0,N/a,28,2344.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.08,0.08,0.0,0.08,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26.0,0.0,18.0,3.0,16.7,0.69,0.12,0.0,0.0,0.0,0.0,0.0,66.0,26.0,0.0,63.0,26.0,38.0,N/a,N/a,0.0
Sepp van den Berg,Brentford,nl NED,DF,22.0,31.0,29,2586.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28.7,0.0,20.0,6.0,30.0,0.7,0.21,0.0,0.0,0.0,0.0,0.0,23.0,5.0,1.0,7.0,22.0,24.0,N/a,N/a,0.0
Simon Adingra,Brighton & Hove Albion,ci CIV,MF,22.0,29.0,12,1097.0,12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12.2,2.0,33.0,8.0,24.2,2.71,0.66,0.06,0.25,0.0,0.0,0.0,13.0,4.0,4.0,42.0,9.0,16.0,N/a,N/a,0.0
Stefan Ortega,Manchester City,de GER,GK,31.0,13.0,12,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,1.47,49.0,33.0,67.3,5.0,4.0,3.0,3.0,25.0,2.0,2.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Stephy Mavididi,Leicester City,eng ENG,MF,26.0,N/a,16,1615.0,17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,0.22,0.06,0.28,0.22,0.28,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17.9,4.0,26.0,7.0,26.9,1.45,0.39,0.15,0.57,0.0,0.0,0.0,18.0,18.0,3.0,70.0,8.0,20.0,N/a,N/a,0.0
Sávio,Manchester City,br BRA,"MF,FW",20.0,29.0,21,1766.0,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,0.05,0.41,0.46,0.05,0.46,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.6,1.0,55.0,21.0,38.2,2.8,1.07,0.02,0.05,0.0,0.0,0.0,17.0,28.0,3.0,84.0,4.0,17.0,N/a,N/a,0.0
Taylor Harwood-Bellis,Southampton,eng ENG,DF,22.0,N/a,32,2825.0,31.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.03,0.0,0.03,0.03,0.03,34.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31.4,1.0,20.0,8.0,40.0,0.64,0.25,0.05,0.13,0.0,0.0,0.0,35.0,14.0,0.0,10.0,29.0,22.0,N/a,N/a,0.0
Thomas Partey,Arsenal,gh GHA,"MF,DF",31.0,35.0,31,2797.0,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,0.13,0.06,0.19,0.13,0.19,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31.1,4.0,26.0,9.0,34.6,0.84,0.29,0.15,0.44,0.0,0.0,0.0,44.0,31.0,1.0,12.0,35.0,53.0,N/a,N/a,0.0
Timothy Castagne,Fulham,be BEL,"DF,MF",28.0,N/a,17,1649.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,24.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18.3,0.0,8.0,3.0,37.5,0.44,0.16,0.0,0.0,0.0,0.0,0.0,15.0,6.0,1.0,38.0,23.0,31.0,N/a,N/a,0.0
Tomáš Souček,West Ham United,cz CZE,MF,29.0,35.0,30,2567.0,28.5,9.0,1.0,10.0,9.0,0.0,0.0,8.0,0.0,0.32,0.04,0.35,0.32,0.35,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28.5,9.0,55.0,18.0,32.7,1.93,0.63,0.16,0.5,0.0,0.0,0.0,47.0,25.0,4.0,13.0,20.0,22.0,N/a,N/a,0.0
Tosin Adarabioyo,Chelsea,eng ENG,DF,26.0,22.0,15,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.13,0.06,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15.7,1.0,13.0,2.0,15.4,0.83,0.13,0.08,0.5,0.0,0.0,0.0,8.0,9.0,1.0,0.0,10.0,13.0,N/a,N/a,0.0
Toti Gomes,Wolverhampton Wanderers,pt POR,DF,25.0,31.0,30,2614.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29.0,0.0,7.0,3.0,42.9,0.24,0.1,0.0,0.0,0.0,0.0,0.0,24.0,15.0,4.0,13.0,26.0,43.0,N/a,N/a,0.0
Trent Alexander-Arnold,Liverpool,eng ENG,DF,25.0,33.0,28,2365.0,26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,0.11,0.23,0.34,0.11,0.34,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26.3,3.0,45.0,8.0,17.8,1.71,0.3,0.07,0.38,0.0,0.0,0.0,11.0,9.0,1.0,154.0,31.0,49.0,N/a,N/a,0.0
Trevoh Chalobah,Chelsea,eng ENG,DF,25.0,13.0,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.1,0.0,7.0,3.0,42.9,0.69,0.3,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,3.0,9.0,7.0,N/a,N/a,0.0
Trevoh Chalobah,Crystal Palace,eng ENG,DF,25.0,12.0,12,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.25,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.8,3.0,11.0,4.0,36.4,0.93,0.34,0.27,0.75,0.0,0.0,0.0,10.0,15.0,1.0,7.0,20.0,15.0,N/a,N/a,0.0
Tyler Adams,Bournemouth,us USA,MF,25.0,N/a,21,1965.0,21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.14,0.14,0.0,0.14,28.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.8,0.0,9.0,2.0,22.2,0.41,0.09,0.0,0.0,0.0,0.0,0.0,46.0,21.0,0.0,2.0,30.0,56.0,N/a,N/a,0.0
Tyler Dibling,Southampton,eng ENG,"MF,FW",18.0,N/a,20,1874.0,20.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.1,0.0,0.1,0.1,0.1,33.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,20.8,2.0,28.0,9.0,32.1,1.34,0.43,0.07,0.22,0.0,0.0,0.0,30.0,51.0,2.0,28.0,7.0,21.0,N/a,N/a,0.0
Tyrick Mitchell,Crystal Palace,eng ENG,MF,24.0,37.0,37,3092.0,34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,34.4,0.0,12.0,3.0,25.0,0.35,0.09,0.0,0.0,0.0,0.0,0.0,23.0,25.0,2.0,107.0,21.0,53.0,N/a,N/a,0.0
Tyrone Mings,Aston Villa,eng ENG,DF,31.0,N/a,12,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12.4,0.0,9.0,1.0,11.1,0.72,0.08,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,1.0,7.0,6.0,N/a,N/a,0.0
Valentino Livramento,Newcastle United,eng ENG,DF,21.0,37.0,32,2840.0,31.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31.6,0.0,6.0,2.0,33.3,0.19,0.06,0.0,0.0,0.0,0.0,0.0,6.0,35.0,2.0,52.0,26.0,34.0,N/a,N/a,0.0
Victor Bernth Kristiansen,Leicester City,dk DEN,"DF,MF",21.0,N/a,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.04,0.0,0.04,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27.6,0.0,3.0,0.0,0.0,0.11,0.0,0.0,N/a,0.0,0.0,0.0,19.0,18.0,3.0,96.0,37.0,51.0,N/a,N/a,1.0
Virgil van Dijk,Liverpool,nl NED,DF,33.0,37.0,37,3330.0,37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.08,0.03,0.11,0.08,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,37.0,3.0,26.0,8.0,30.8,0.7,0.22,0.12,0.38,0.0,0.0,0.0,17.0,13.0,0.0,1.0,54.0,20.0,N/a,N/a,0.0
Vitaliy Mykolenko,Everton,ua UKR,DF,25.0,N/a,35,3082.0,34.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.03,0.06,0.09,0.03,0.09,35.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,34.2,1.0,14.0,1.0,7.1,0.41,0.03,0.07,1.0,0.0,0.0,0.0,22.0,34.0,3.0,100.0,42.0,38.0,N/a,N/a,0.0
Vitaly Janelt,Brentford,de GER,MF,26.0,32.0,27,2254.0,25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.04,0.12,0.16,0.04,0.16,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25.0,1.0,14.0,4.0,28.6,0.56,0.16,0.07,0.25,0.0,0.0,0.0,25.0,15.0,1.0,31.0,27.0,24.0,N/a,N/a,2.0
Vladimír Coufal,West Ham United,cz CZE,"DF,MF",31.0,22.0,11,1067.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.9,0.0,7.0,2.0,28.6,0.59,0.17,0.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,28.0,8.0,16.0,N/a,N/a,1.0
Wes Burns,Ipswich Town,wls WAL,MF,29.0,18.0,12,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.3,0.0,7.0,1.0,14.3,0.68,0.1,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,45.0,10.0,11.0,N/a,N/a,0.0
Wesley Fofana,Chelsea,fr FRA,DF,23.0,14.0,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13.0,0.0,3.0,0.0,0.0,0.23,0.0,0.0,N/a,0.0,0.0,0.0,24.0,16.0,0.0,1.0,12.0,11.0,N/a,N/a,0.0
Wilfred Ndidi,Leicester City,ng NGA,MF,27.0,N/a,28,2324.0,25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.19,0.19,0.0,0.19,28.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25.8,0.0,22.0,8.0,36.4,0.85,0.31,0.0,0.0,0.0,0.0,0.0,39.0,18.0,3.0,30.0,27.0,48.0,N/a,N/a,1.0
Will Hughes,Crystal Palace,eng ENG,MF,29.0,33.0,24,2108.0,23.4,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.13,0.13,0.0,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,23.4,0.0,22.0,1.0,4.5,0.94,0.04,0.0,0.0,0.0,0.0,0.0,65.0,31.0,0.0,70.0,21.0,36.0,N/a,N/a,0.0
William Saliba,Arsenal,fr FRA,DF,23.0,35.0,35,3039.0,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.06,0.0,0.06,0.06,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33.8,2.0,6.0,3.0,50.0,0.18,0.09,0.33,0.67,0.0,0.0,0.0,28.0,17.0,1.0,3.0,22.0,34.0,N/a,N/a,0.0
Wout Faes,Leicester City,be BEL,DF,26.0,N/a,30,2815.0,31.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03,34.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31.3,1.0,12.0,1.0,8.3,0.38,0.03,0.08,1.0,0.0,0.0,0.0,23.0,11.0,1.0,5.0,22.0,28.0,N/a,N/a,0.0
Yankuba Minteh,Brighton & Hove Albion,gm GAM,MF,20.0,32.0,20,1838.0,20.4,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,0.29,0.2,0.49,0.29,0.49,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,20.4,6.0,34.0,16.0,47.1,1.66,0.78,0.18,0.38,0.0,0.0,0.0,21.0,11.0,6.0,90.0,12.0,36.0,N/a,N/a,0.0
Yasin Ayari,Brighton & Hove Albion,se SWE,MF,20.0,34.0,22,1965.0,21.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.09,0.05,0.14,0.09,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.8,2.0,28.0,8.0,28.6,1.28,0.37,0.07,0.25,0.0,0.0,0.0,36.0,26.0,3.0,70.0,20.0,32.0,N/a,N/a,0.0
Yehor Yarmoliuk,Brentford,ua UKR,MF,20.0,31.0,15,1450.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16.1,0.0,9.0,2.0,22.2,0.56,0.12,0.0,0.0,0.0,0.0,0.0,19.0,13.0,2.0,16.0,13.0,30.0,N/a,N/a,0.0
Yoane Wissa,Brentford,cd COD,FW,27.0,35.0,34,2919.0,32.4,19.0,4.0,23.0,19.0,0.0,0.0,5.0,0.0,0.59,0.12,0.71,0.59,0.71,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,32.4,19.0,90.0,43.0,47.8,2.77,1.33,0.21,0.44,0.0,0.0,0.0,33.0,51.0,14.0,19.0,8.0,13.0,N/a,N/a,0.0
Youri Tielemans,Aston Villa,be BEL,MF,27.0,N/a,35,3026.0,33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,0.09,0.21,0.3,0.09,0.3,36.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33.6,3.0,41.0,13.0,31.7,1.22,0.39,0.07,0.23,0.0,1.0,0.0,41.0,56.0,0.0,118.0,22.0,58.0,N/a,N/a,0.0
Yukinari Sugawara,Southampton,jp JPN,"MF,DF",24.0,N/a,16,1557.0,17.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.12,0.06,0.12,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17.3,1.0,14.0,6.0,42.9,0.81,0.35,0.07,0.17,0.0,0.0,0.0,15.0,10.0,4.0,70.0,9.0,16.0,N/a,N/a,0.0
Álex Moreno,Nottingham Forest,es ESP,DF,31.0,15.0,11,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.6,0.0,6.0,0.0,0.0,0.57,0.0,0.0,N/a,0.0,0.0,0.0,12.0,6.0,0.0,19.0,16.0,18.0,N/a,N/a,0.0
İlkay Gündoğan,Manchester City,de GER,MF,33.0,33.0,25,2223.0,24.7,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,0.04,0.24,0.28,0.04,0.28,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.7,1.0,27.0,7.0,25.9,1.09,0.28,0.04,0.14,0.0,0.0,0.0,15.0,27.0,1.0,62.0,14.0,13.0,N/a,N/a,0.0
Łukasz Fabiański,West Ham United,pl POL,GK,39.0,14.0,13,1160.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,1.63,68.0,50.0,73.5,6.0,3.0,4.0,3.0,23.1,3.0,3.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
